1.200000000000000000e+01,2.597432104726967239e+01
7.000000000000000000e+00,2.016149972470333296e+01
7.000000000000000000e+00,1.654523039873354051e+01
1.600000000000000000e+01,3.427792832498197839e+01
1.500000000000000000e+01,2.937554564218991260e+01
1.300000000000000000e+01,2.890483170016814185e+01
9.000000000000000000e+00,2.261282848341348739e+01
1.300000000000000000e+01,2.637687023181346646e+01
1.100000000000000000e+01,2.771295044758387860e+01
4.000000000000000000e+00,9.697537234640284609e+00
8.000000000000000000e+00,1.853238264006871461e+01
2.000000000000000000e+00,7.072635363932574748e+00
9.000000000000000000e+00,1.989196482321344206e+01
1.600000000000000000e+01,3.648308730728641081e+01
9.000000000000000000e+00,2.027021003761231199e+01
1.900000000000000000e+01,3.724086943726596388e+01
3.000000000000000000e+00,8.800263640389287545e+00
1.000000000000000000e+01,2.193022569767773433e+01
1.400000000000000000e+01,3.075051702228818229e+01
1.000000000000000000e+01,1.852349825890624757e+01
4.000000000000000000e+00,9.471502460901158216e+00
